,date,CPI
497,1981-02-01,87.9
498,1981-01-01,87.0
499,1980-12-01,86.3
500,1980-11-01,85.5
501,1980-10-01,84.8
502,1980-09-01,84.0
503,1980-08-01,83.3
504,1980-07-01,82.7
505,1980-06-01,82.7
506,1980-05-01,81.8
507,1980-04-01,81.0
508,1980-03-01,80.1
509,1980-02-01,78.9
510,1980-01-01,77.8
511,1979-12-01,76.7
512,1979-11-01,75.9
513,1979-10-01,75.2
514,1979-09-01,74.6
515,1979-08-01,73.8
516,1979-07-01,73.1
517,1979-06-01,72.3
518,1979-05-01,71.5
519,1979-04-01,70.6
520,1979-03-01,69.8
521,1979-02-01,69.1
522,1979-01-01,68.3
523,1978-12-01,67.7
524,1978-11-01,67.4
525,1978-10-01,67.1
526,1978-09-01,66.5
527,1978-08-01,66.0
528,1978-07-01,65.7
529,1978-06-01,65.2
530,1978-05-01,64.5
531,1978-04-01,63.9
532,1978-03-01,63.4
533,1978-02-01,62.9
534,1978-01-01,62.5
535,1977-12-01,62.1
536,1977-11-01,61.9
537,1977-10-01,61.6
538,1977-09-01,61.4
539,1977-08-01,61.2
540,1977-07-01,61.0
541,1977-06-01,60.7
542,1977-05-01,60.3
543,1977-04-01,60.0
544,1977-03-01,59.5
545,1977-02-01,59.1
546,1977-01-01,58.5
547,1976-12-01,58.2
548,1976-11-01,58.0
549,1976-10-01,57.9
550,1976-09-01,57.6
551,1976-08-01,57.4
552,1976-07-01,57.1
553,1976-06-01,56.8
554,1976-05-01,56.5
555,1976-04-01,56.1
556,1976-03-01,55.9
557,1976-02-01,55.8
558,1976-01-01,55.6
559,1975-12-01,55.5
560,1975-11-01,55.3
561,1975-10-01,54.9
562,1975-09-01,54.6
563,1975-08-01,54.3
564,1975-07-01,54.2
565,1975-06-01,53.6
566,1975-05-01,53.2
567,1975-04-01,52.9
568,1975-03-01,52.7
569,1975-02-01,52.5
570,1975-01-01,52.1
571,1974-12-01,51.9
572,1974-11-01,51.5
573,1974-10-01,51.1
574,1974-09-01,50.6
575,1974-08-01,50.0
576,1974-07-01,49.4
577,1974-06-01,49.0
578,1974-05-01,48.6
579,1974-04-01,48.0
580,1974-03-01,47.8
581,1974-02-01,47.2
582,1974-01-01,46.6
583,1973-12-01,46.2
584,1973-11-01,45.9
585,1973-10-01,45.6
586,1973-09-01,45.2
587,1973-08-01,45.1
588,1973-07-01,44.3
589,1973-06-01,44.2
590,1973-05-01,43.9
591,1973-04-01,43.6
592,1973-03-01,43.3
593,1973-02-01,42.9
594,1973-01-01,42.6
595,1972-12-01,42.5
596,1972-11-01,42.4
597,1972-10-01,42.3
598,1972-09-01,42.1
599,1972-08-01,42.0
600,1972-07-01,41.9
601,1972-06-01,41.7
602,1972-05-01,41.6
603,1972-04-01,41.5
604,1972-03-01,41.4
605,1972-02-01,41.3
606,1972-01-01,41.1
607,1971-12-01,41.1
608,1971-11-01,40.9
609,1971-10-01,40.9
610,1971-09-01,40.8
611,1971-08-01,40.8
612,1971-07-01,40.7
613,1971-06-01,40.6
614,1971-05-01,40.3
