Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2011-02-28 00:00:00+00:00,0.42,-0.39,0.24,-0.19,-0.19,0.001
2011-03-01 00:00:00+00:00,-1.58,-0.29,-0.05,0.4,-0.46,0.0
2011-03-02 00:00:00+00:00,0.28,0.27,-0.28,-0.02,0.18,0.0
2011-03-03 00:00:00+00:00,1.76,0.47,-0.05,-0.33,0.15,0.0
2011-03-04 00:00:00+00:00,-0.67,0.26,-0.55,0.17,-0.22,0.0
2011-03-07 00:00:00+00:00,-0.96,-0.65,0.09,0.35,-0.22,0.0
2011-03-08 00:00:00+00:00,0.97,0.52,0.69,-0.05,0.28,0.0
2011-03-09 00:00:00+00:00,-0.17,-0.21,0.33,0.5,-0.25,0.0
2011-03-10 00:00:00+00:00,-1.93,-0.73,-0.32,0.67,-0.56,0.0
2011-03-11 00:00:00+00:00,0.69,-0.35,0.14,-0.38,0.21,0.0
2011-03-14 00:00:00+00:00,-0.59,0.08,-0.41,0.17,-0.02,0.0
2011-03-15 00:00:00+00:00,-1.05,0.27,-0.16,0.35,0.01,0.0
2011-03-16 00:00:00+00:00,-1.77,0.64,-0.12,-0.03,0.19,0.0
2011-03-17 00:00:00+00:00,1.12,-0.74,0.59,-0.26,0.14,0.0
2011-03-18 00:00:00+00:00,0.49,0.57,0.2,0.04,0.32,0.0
2011-03-21 00:00:00+00:00,1.58,0.89,-0.24,-0.35,0.02,0.0
2011-03-22 00:00:00+00:00,-0.34,-0.08,-0.05,0.11,-0.2,0.0
2011-03-23 00:00:00+00:00,0.31,0.12,-0.44,0.07,0.09,0.0
2011-03-24 00:00:00+00:00,0.96,-0.19,-0.42,-0.25,0.36,0.0
2011-03-25 00:00:00+00:00,0.41,0.47,-0.02,0.11,0.05,0.0
2011-03-28 00:00:00+00:00,-0.35,0.07,-0.22,0.35,-0.16,0.0
2011-03-29 00:00:00+00:00,0.74,0.23,-0.24,-0.16,0.15,0.0
2011-03-30 00:00:00+00:00,0.79,0.45,0.06,0.02,0.08,0.0
2011-03-31 00:00:00+00:00,-0.11,0.57,-0.31,0.16,-0.07,0.0
2011-04-01 00:00:00+00:00,0.52,-0.08,0.21,0.15,0.05,0.0
2011-04-04 00:00:00+00:00,0.09,0.23,-0.12,0.15,-0.06,0.0
2011-04-05 00:00:00+00:00,0.08,0.48,-0.22,0.1,0.29,0.0
2011-04-06 00:00:00+00:00,0.21,-0.17,0.64,-0.17,0.22,0.0
2011-04-07 00:00:00+00:00,-0.2,-0.22,-0.19,0.21,-0.14,0.0
